file,n,m,brute_force_result,IC_result,BST_result,IC_match?,BST_match?,brute_validity,brute_runtime
dag_000000.txt,31,30,0,0,0,True,True,True,0.000108
dag_000001.txt,15,14,0,0,0,True,True,True,2.3e-05
dag_000002.txt,25,24,0,0,0,True,True,True,2.5e-05
dag_000003.txt,12,11,0,0,0,True,True,True,2.1e-05
dag_000004.txt,19,18,0,0,0,True,True,True,2e-05
dag_000005.txt,16,15,0,0,0,True,True,True,1.9e-05
dag_000006.txt,12,11,0,0,0,True,True,True,1.5e-05
dag_000007.txt,15,14,0,0,0,True,True,True,1.8e-05
dag_000008.txt,17,16,0,0,0,True,True,True,2.4e-05
dag_000009.txt,24,23,0,0,0,True,True,True,2.5e-05
dag_000010.txt,13,12,0,0,0,True,True,True,2e-05
dag_000011.txt,31,30,0,0,0,True,True,True,2.7e-05
dag_000012.txt,33,32,0,0,0,True,True,True,3.1e-05
dag_000013.txt,23,22,0,0,0,True,True,True,2e-05
dag_000014.txt,10,9,0,0,0,True,True,True,1.9e-05
dag_000015.txt,26,25,0,0,0,True,True,True,2e-05
dag_000016.txt,14,13,0,0,0,True,True,True,2e-05
dag_000017.txt,27,26,0,0,0,True,True,True,2.2e-05
dag_000018.txt,20,19,0,0,0,True,True,True,2.3e-05
dag_000019.txt,21,20,0,0,0,True,True,True,2.1e-05
dag_000020.txt,17,16,0,0,0,True,True,True,2e-05
dag_000021.txt,15,14,0,0,0,True,True,True,1.6e-05
dag_000022.txt,22,21,0,0,0,True,True,True,2.3e-05
dag_000023.txt,19,18,0,0,0,True,True,True,2.2e-05
dag_000024.txt,24,23,0,0,0,True,True,True,2.2e-05
dag_000025.txt,29,28,0,0,0,True,True,True,3.2e-05
dag_000026.txt,23,22,0,0,0,True,True,True,2.2e-05
dag_000027.txt,25,24,0,0,0,True,True,True,2.8e-05
dag_000028.txt,35,34,0,0,0,True,True,True,2.6e-05
dag_000029.txt,19,18,0,0,0,True,True,True,2.4e-05
dag_000030.txt,14,13,0,0,0,True,True,True,1.5e-05
dag_000031.txt,22,21,0,0,0,True,True,True,2.7e-05
dag_000032.txt,10,9,0,0,0,True,True,True,1.6e-05
dag_000033.txt,32,31,0,0,0,True,True,True,2.8e-05
dag_000034.txt,24,23,0,0,0,True,True,True,2.3e-05
dag_000035.txt,17,16,0,0,0,True,True,True,1.9e-05
dag_000036.txt,27,26,0,0,0,True,True,True,3.1e-05
dag_000037.txt,20,19,0,0,0,True,True,True,2.2e-05
